epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2661,5.12058,4.97961,3.43002,0,0,0,0,nan,nan,nan,0.000663537,0.000663537,0.000663537
2,93.5312,4.15467,3.91702,2.59877,0.00033,0.35052,0.00024,7e-05,3.81108,2075.16,7.26664,0.00130387,0.00130387,0.00130387
3,139.131,3.99113,3.8775,2.44242,0.00103,0.01031,0.00036,0.00014,nan,nan,nan,0.00191779,0.00191779,0.00191779
4,186.232,3.91657,3.82127,2.35364,0.00038,0.40206,0.0003,0.0001,4.04951,nan,3.46929,0.0018812,0.0018812,0.0018812
5,232.45,3.90143,3.8461,2.32224,0.00044,0.46392,0.00046,0.00016,4.02274,3.37028,2.54285,0.0018416,0.0018416,0.0018416
6,279.838,3.83645,3.87976,2.30531,0.00059,0.61856,0.00057,0.00018,3.8945,3.30682,2.54497,0.001802,0.001802,0.001802
7,328.588,3.78322,3.88859,2.26639,0.00051,0.51546,0.0005,0.00015,3.99743,3.43362,2.53787,0.0017624,0.0017624,0.0017624
8,375.534,3.7745,3.87206,2.27266,0.00051,0.50515,0.00061,0.00018,3.96912,3.35174,2.53495,0.0017228,0.0017228,0.0017228
9,422.939,3.73988,3.87193,2.23646,0.00051,0.51546,0.00062,0.0002,4.0262,3.37576,2.54697,0.0016832,0.0016832,0.0016832
10,470.299,3.74609,3.8514,2.24453,0.00047,0.48454,0.00065,0.00021,4.02944,3.40516,2.53364,0.0016436,0.0016436,0.0016436
11,516.917,3.75489,3.90601,2.209,0.00042,0.43299,0.0006,0.00019,4.09142,3.38436,2.5846,0.001604,0.001604,0.001604
12,562.921,3.71569,3.84327,2.23412,0.00043,0.4433,0.00045,0.00014,3.89254,nan,2.52344,0.0015644,0.0015644,0.0015644
13,609.093,3.71949,3.88919,2.24181,0.0004,0.41237,0.00045,0.00014,3.9947,3.35439,2.52476,0.0015248,0.0015248,0.0015248
14,655.056,3.68018,3.86359,2.19802,0.00049,0.51546,0.00056,0.00017,3.99128,3.37525,2.52134,0.0014852,0.0014852,0.0014852
15,700.1,3.67445,3.84355,2.20574,0.00046,0.4433,0.00039,0.00012,4.0033,3.51857,2.5374,0.0014456,0.0014456,0.0014456
16,745.626,3.67653,3.84653,2.20972,0.00045,0.47423,0.00045,0.00013,4.01628,3.45354,2.56992,0.001406,0.001406,0.001406
17,791.84,3.71973,3.87813,2.2163,0.00051,0.53608,0.00068,0.0002,3.89775,3.39158,2.51737,0.0013664,0.0013664,0.0013664
18,837.845,3.71216,3.86857,2.20836,0.00053,0.5567,0.00055,0.00015,4.02758,3.42311,2.56152,0.0013268,0.0013268,0.0013268
19,883.837,3.68323,3.89525,2.20107,0.00045,0.47423,0.00051,0.00016,4.03151,3.4096,2.55867,0.0012872,0.0012872,0.0012872
20,930.944,3.68623,3.82805,2.20095,0.00047,0.49485,0.00049,0.00016,4.06599,3.45878,2.60453,0.0012476,0.0012476,0.0012476
21,977.793,3.72628,3.86782,2.22291,0.00044,0.46392,0.00037,0.00011,3.97583,nan,3.56843,0.001208,0.001208,0.001208
22,1022.73,3.73452,3.84989,2.21925,0.00054,0.56701,0.00052,0.00017,3.962,7.45548,2.54503,0.0011684,0.0011684,0.0011684
23,1067.81,3.69802,3.86259,2.21712,0.00052,0.54639,0.00065,0.00018,3.99168,3.35543,2.52178,0.0011288,0.0011288,0.0011288
24,1111.88,3.67909,3.84672,2.18009,0.00048,0.50515,0.00055,0.00016,3.95606,3.33664,2.50942,0.0010892,0.0010892,0.0010892
25,1156.31,3.71403,3.89324,2.18045,0.00054,0.56701,0.00067,0.0002,3.95097,3.39479,2.52558,0.0010496,0.0010496,0.0010496
